story_id,author_id
1,2
2,3
3,4
4,6
5,5
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
23,8
24,8
25,8
26,8
27,9
28,10
29,11
29,51
30,12
31,13
32,14
33,15
33,56
34,16
35,17
35,42
35,43
35,44
35,45
35,46
35,47
35,48
36,18
37,19
37,55
38,20
39,21
40,22
41,23
42,24
42,54
43,25
44,26
44,53
45,27
46,28
47,29
48,30
49,31
50,32
51,33
52,34
53,35
54,36
55,37
55,49
55,50
56,38
57,39
57,52
58,40
59,41
61,57
62,57
63,57
64,57
65,57
66,57
67,57
68,57
69,57
70,57
71,57
72,57
73,57
74,57
75,57
76,57
77,57
78,57
79,57
80,57
81,57
82,57
83,57
84,57
85,57
86,57
87,57
88,57
89,57
90,57
91,57
92,57
93,57
94,57
95,57
96,57
97,57
98,57
99,57
100,57
101,57
102,57
103,57
104,57
105,57
106,57
107,57
108,57
109,57
110,57
111,57
112,57
113,57
114,57
115,57
116,57
117,57
118,57
119,57
120,57
121,57
122,57
123,57
124,57
125,57
126,57
127,57
128,57
129,57
130,57
131,57
132,57
133,57
134,57
135,57
136,57
137,57
138,57
139,57
140,57
141,57
142,57
143,57
144,57
145,57
146,57
147,57
148,57
149,57
150,57
151,57
152,57
153,57
154,57
155,57
156,57
157,57
158,57
159,57
160,57
161,57
162,57
163,57
164,57
165,57
166,57
167,57
168,57
169,57
170,57
171,57
172,57
173,57
174,58
175,58
176,58
177,58
178,58
179,58
180,58
181,58
182,58
183,58
184,58
185,58
186,58
187,58
188,58
189,58
190,59
191,59
192,59
193,59
194,59
195,60
196,61
197,62
198,63
199,64
200,64
201,64
202,65
203,65
204,65
205,65
206,66
207,66
208,66
209,66
210,66
211,66
212,66
213,66
214,66
215,66
216,66
217,66
218,66
219,66
220,66
221,66
222,67
223,68
224,69
225,70
226,71
227,72
228,73
229,74
230,75
231,76
232,77
233,78
234,79
235,80
236,81
237,82
